material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Mylar,4.55,8.7351,36.,84.,0.8399,0.6182,0.07007,0.02185,-0.0004574,-0.000356,-1.449,1.851,-0.1561,-0.032,0.009075,-0.0005767
Mylar,4.55,8.7351,37.,85.,0.8323,0.6144,0.06783,0.0219,-0.0003267,-0.0003705,-1.439,1.848,-0.1472,-0.03597,0.009748,-0.0006164
Mylar,4.55,8.7351,38.,88.,0.848,0.6107,0.0657,0.02195,-0.000208,-0.0003835,-1.471,1.851,-0.1354,-0.04093,0.01051,-0.0006569
Mylar,4.55,8.7351,39.,89.,0.841,0.6072,0.06363,0.02198,-9.075e-05,-0.0003962,-1.461,1.849,-0.1266,-0.04486,0.01118,-0.0006971
Mylar,4.55,8.7351,40.,90.,0.8343,0.6037,0.06166,0.02203,1.71e-05,-0.0004078,-1.452,1.847,-0.118,-0.04879,0.01186,-0.0007381
Mylar,4.55,8.7351,41.,93.,0.8498,0.6004,0.05976,0.02207,0.0001179,-0.0004184,-1.484,1.849,-0.1059,-0.05383,0.01263,-0.0007795
Mylar,4.55,8.7351,42.,98.,0.8866,0.5964,0.05806,0.02217,0.0001875,-0.0004258,-1.557,1.857,-0.08913,-0.06054,0.01359,-0.0008269
Mylar,4.55,8.7351,43.,98.,0.8698,0.5935,0.05629,0.02218,0.0002832,-0.0004356,-1.528,1.852,-0.08254,-0.06378,0.01421,-0.000867
Mylar,4.55,8.7351,44.,102.,0.8932,0.5909,0.05457,0.02219,0.0003731,-0.0004445,-1.573,1.853,-0.06788,-0.06937,0.01501,-0.0009075
Mylar,4.55,8.7351,45.,103.,0.887,0.5882,0.05292,0.02221,0.0004568,-0.0004528,-1.564,1.849,-0.05927,-0.07323,0.01568,-0.0009485
Mylar,4.55,8.7351,46.,106.,0.8999,0.5857,0.05136,0.02222,0.0005324,-0.00046,-1.59,1.848,-0.04646,-0.07826,0.01644,-0.0009893
Mylar,4.55,8.7351,47.,107.,0.8941,0.5832,0.04983,0.02223,0.0006087,-0.0004672,-1.582,1.845,-0.03826,-0.082,0.0171,-0.00103
Mylar,4.55,8.7351,48.,114.,0.9423,0.5809,0.04837,0.02224,0.0006741,-0.0004732,-1.672,1.844,-0.01566,-0.08964,0.01806,-0.001071
Mylar,4.55,8.7351,49.,115.,0.9364,0.5786,0.04697,0.02225,0.0007378,-0.0004789,-1.663,1.84,-0.007298,-0.09341,0.01872,-0.001112
Mylar,4.55,8.7351,50.,120.,0.9646,0.5765,0.0456,0.02225,0.0007991,-0.0004842,-1.716,1.836,0.01102,-0.09975,0.01957,-0.001152
Mylar,4.55,8.7351,51.,121.,0.9585,0.5745,0.0443,0.02224,0.0008579,-0.0004891,-1.707,1.832,0.01894,-0.1033,0.02019,-0.001191
Mylar,4.55,8.7351,52.,130.,1.016,0.5728,0.04298,0.02222,0.0009173,-0.000494,-1.812,1.822,0.04772,-0.1121,0.0212,-0.001229
Mylar,4.55,8.7351,53.,127.,0.9788,0.571,0.04179,0.0222,0.0009708,-0.0004982,-1.746,1.822,0.04461,-0.1128,0.0216,-0.001266
Mylar,4.55,8.7351,54.,132.,1.004,0.5692,0.04061,0.02219,0.001018,-0.0005016,-1.792,1.814,0.06326,-0.119,0.02241,-0.001304
Mylar,4.55,8.7351,55.,133.,0.9983,0.5676,0.03946,0.02216,0.001067,-0.0005052,-1.783,1.81,0.07069,-0.1223,0.02301,-0.001341
Mylar,4.55,8.7351,56.,138.,1.022,0.566,0.03838,0.02215,0.001106,-0.0005077,-1.826,1.801,0.08944,-0.1285,0.02381,-0.001379
Mylar,4.55,8.7351,57.,139.,1.017,0.5644,0.03732,0.02213,0.001146,-0.0005102,-1.817,1.797,0.0968,-0.1318,0.0244,-0.001416
Mylar,4.55,8.7351,58.,140.,1.011,0.5628,0.03632,0.02211,0.001181,-0.0005121,-1.809,1.793,0.104,-0.135,0.02499,-0.001453
Mylar,4.55,8.7351,59.,141.,1.006,0.5613,0.03534,0.02209,0.001215,-0.0005138,-1.801,1.79,0.111,-0.1382,0.02557,-0.00149
Mylar,4.55,8.7351,60.,142.,1.001,0.5598,0.03442,0.02207,0.001244,-0.0005149,-1.793,1.787,0.1179,-0.1414,0.02614,-0.001526
Mylar,4.55,8.7351,61.,145.,1.011,0.5584,0.0335,0.02205,0.00127,-0.0005158,-1.81,1.78,0.1308,-0.146,0.02682,-0.001562
